t	v
0	-59.9512
0.1	-59.9512
0.2	-59.9512
0.3	-59.9512
0.4	-59.9512
0.5	-59.9512
0.6	-59.9512
0.7	-59.9512
0.8	-59.9512
0.9	-59.9512
1	-59.9512
1.1	-59.9512
1.2	-59.9512
1.3	-59.9512
1.4	-59.9512
1.5	-59.9512
1.6	-59.9512
1.7	-59.9512
1.8	-59.9512
1.9	-59.9512
2	-59.9512
2.1	-59.9512
2.2	-59.9512
2.3	-59.9512
2.4	-59.9512
2.5	-59.9512
2.6	-59.9512
2.7	-59.9512
2.8	-59.9512
2.9	-59.9512
3	-59.9512
3.1	-59.9512
3.2	-59.9512
3.3	-59.9512
3.4	-59.9512
3.5	-59.9512
3.6	-59.9512
3.7	-59.9512
3.8	-59.9512
3.9	-59.9512
4	-59.9512
4.1	-59.9512
4.2	-59.9512
4.3	-59.9512
4.4	-59.9512
4.5	-59.9512
4.6	-59.9512
4.7	-59.9512
4.8	-59.9512
4.9	-59.9512
5	-59.9512
5.1	-59.9512
5.2	-59.9512
5.3	-59.9512
5.4	-59.9512
5.5	-59.9512
5.6	-59.9512
5.7	-59.9512
5.8	-59.9512
5.9	-59.9512
6	-59.9512
6.1	-59.9512
6.2	-59.9512
6.3	-59.9512
6.4	-59.9512
6.5	-59.9512
6.6	-59.9512
6.7	-59.9512
6.8	-59.9512
6.9	-59.9512
7	-59.9512
7.1	-59.9512
7.2	-59.9512
7.3	-59.9512
7.4	-59.9512
7.5	-59.9512
7.6	-59.9512
7.7	-59.9512
7.8	-59.9512
7.9	-59.9512
8	-59.9512
8.1	-59.9512
8.2	-59.9512
8.3	-59.9512
8.4	-59.9512
8.5	-59.9512
8.6	-59.9512
8.7	-59.9512
8.8	-59.9512
8.9	-59.9512
9	-59.9512
9.1	-59.9512
9.2	-59.9512
9.3	-59.9512
9.4	-59.9512
9.5	-59.9512
9.6	-59.9512
9.7	-59.9512
9.8	-59.9512
9.9	-59.9512
10	-59.9512
10.1	-59.9512
10.2	-59.9512
10.3	-59.9512
10.4	-59.9512
10.5	-59.9512
10.6	-59.9512
10.7	-59.9512
10.8	-59.9512
10.9	-59.9512
11	-59.9512
11.1	-59.9512
11.2	-59.9512
11.3	-59.9512
11.4	-59.9512
11.5	-59.9512
11.6	-59.9512
11.7	-59.9512
11.8	-59.9512
11.9	-59.9512
12	-59.9512
12.1	-59.9512
12.2	-59.9512
12.3	-59.9512
12.4	-59.9512
12.5	-59.9512
12.6	-59.9512
12.7	-59.9512
12.8	-59.9512
12.9	-59.9512
13	-59.9512
13.1	-59.9512
13.2	-59.9512
13.3	-59.9512
13.4	-59.9512
13.5	-59.9512
13.6	-59.9512
13.7	-59.9513
13.8	-59.9513
13.9	-59.9514
14	-59.9515
14.1	-59.9515
14.2	-59.9516
14.3	-59.9517
14.4	-59.9519
14.5	-59.952
14.6	-59.9521
14.7	-59.9522
14.8	-59.9524
14.9	-59.9525
15	-59.9527
15.1	-59.9528
15.2	-59.953
15.3	-59.9531
15.4	-59.9533
15.5	-59.9534
15.6	-59.9536
15.7	-59.9537
15.8	-59.9539
15.9	-59.954
16	-59.9542
16.1	-59.9543
16.2	-59.9545
16.3	-59.9547
16.4	-59.9548
16.5	-59.955
16.6	-59.9551
16.7	-59.9553
16.8	-59.9554
16.9	-59.9555
17	-59.9557
17.1	-59.9558
17.2	-59.956
17.3	-59.9561
17.4	-59.9562
17.5	-59.9564
17.6	-59.9565
17.7	-59.9566
17.8	-59.9567
17.9	-59.9569
18	-59.957
18.1	-59.9571
18.2	-59.9572
18.3	-59.9573
18.4	-59.9575
18.5	-59.9576
18.6	-59.9578
18.7	-59.9579
18.8	-59.9581
18.9	-59.9583
19	-59.9584
19.1	-59.9586
19.2	-59.9588
19.3	-59.959
19.4	-59.9592
19.5	-59.9594
19.6	-59.9596
19.7	-59.9598
19.8	-59.96
19.9	-59.9602
